id,age,dist,income,gender,marital_status,target
267,93,1.528611917,"50-59,999",F,S,0
268,81,11.33987579,"90-99,999",M,M,0
269,78,10.35634341,,M,,0
270,94,2.806932618,,M,M,0
271,82,25.27456956,"200 - 249,999",M,M,0
272,77,4.752401789,"30-39,999",M,,0
273,73,8.676131052,"50-59,999",F,S,0
274,70,1.389193973,"90-99,999",M,M,0
275,67,7.168673308,"20-29,999",M,M,0
276,86,3.237194992,"10-19,999",F,M,1
277,81,5.985391841,"10-19,999",F,S,1
278,81,15.7375276,"50-59,999",F,M,1
279,92,1.49132943,"50-59,999",F,S,1
280,80,5.292263771,"10-19,999",M,M,1
281,76,2.160416167,"40-49,999",M,M,1
282,79,2.619338801,"60-69,999",M,M,1
283,73,0.659711502,"90-99,999",M,S,1
284,78,5.644696329,"70-79,999",M,M,1
285,86,4.310753771,"30-39,999",M,M,1
286,72,11.9803931,"100-149,999",F,M,1
287,85,4.922036346,"30-39,999",F,M,1
288,77,23.20335006,"150 - 174,999",F,M,1
289,74,1.912497633,"40-49,999",M,M,1
290,71,1.110134474,"30-39,999",M,S,1
291,66,2.660059771,"60-69,999",F,M,0
292,69,8.847070085,"70-79,999",F,M,0
293,80,12.49335313,"10-19,999",F,S,0
294,91,6.285800145,,F,,0
295,73,1.487009659,"50-59,999",M,S,0
296,78,14.3740981,"30-39,999",M,S,0
297,71,19.0267361,"90-99,999",M,S,0
298,81,1.977315368,"80-89,999",F,M,0
299,66,7.765523778,"90-99,999",F,S,0
300,73,9.053500351,"90-99,999",M,M,0
301,66,13.57780267,"90-99,999",M,M,0
302,73,3.693707524,,M,M,0
303,68,15.24048353,Under $10k,M,M,0
304,66,12.68882571,,M,,0
305,70,12.91312346,"100-149,999",F,M,0
306,68,5.182165982,"70-79,999",M,M,0
307,78,3.605153522,"50-59,999",F,M,0
308,83,18.14846634,"10-19,999",F,S,0
309,76,6.337596037,"200 - 249,999",F,S,0
310,81,20.26107148,"40-49,999",M,M,0
311,65,7.540623432,,F,,0
312,65,0.275387247,"50-59,999",M,M,0
313,89,4.612964966,"90-99,999",F,M,1
314,83,22.44180622,"30-39,999",M,M,1
315,66,3.929059351,"70-79,999",M,M,1
316,70,7.378450011,"70-79,999",F,S,1
317,82,2.952517252,"90-99,999",F,S,1
318,73,1.243726196,"30-39,999",F,M,1
319,72,13.29344671,"40-49,999",F,M,1
320,75,2.816558755,"60-69,999",M,M,1
321,70,6.533228167,"10-19,999",M,M,1
322,82,6.918175785,"70-79,999",M,M,1
323,70,17.962718,"90-99,999",M,M,1
324,90,0.794887791,"90-99,999",F,M,1
325,69,5.138625757,,M,M,1
326,85,2.701764776,"30-39,999",F,S,1
327,81,4.028615506,"10-19,999",M,M,1
328,68,18.04654075,"50-59,999",M,M,1
329,65,12.99453629,"40-49,999",M,M,0
330,66,10.13879598,"200 - 249,999",M,S,0
331,65,13.5287468,"40-49,999",M,S,0
332,85,3.46322659,"90-99,999",F,,0
333,68,0.536806211,"90-99,999",M,M,0
334,81,17.62935794,"90-99,999",,M,0
335,74,3.804938101,"100-149,999",F,M,0
336,89,11.95939533,"90-99,999",M,M,0
337,78,13.08051887,"10-19,999",F,S,0
338,93,1.699416488,"40-49,999",M,S,0
339,74,16.27134079,"200 - 249,999",F,M,0
340,91,3.226623173,"20-29,999",M,S,0
341,78,26.49288407,,M,S,0
342,75,4.889288119,"100-149,999",F,M,0
343,70,15.91469739,"90-99,999",F,M,0
344,81,1.195150792,"150 - 174,999",F,M,0
345,87,5.064049055,"20-29,999",M,M,1
346,73,12.39630652,"20-29,999",M,M,1
347,80,13.22950978,"70-79,999",F,S,1
348,87,1.653975655,"90-99,999",M,S,1
349,83,1.578966132,"70-79,999",M,M,1
350,84,0.481327879,"30-39,999",F,M,1
351,70,12.60415051,"90-99,999",M,M,1
352,71,14.27889785,"40-49,999",F,M,1
353,85,13.48263149,"10-19,999",M,M,1
354,68,17.68937631,"10-19,999",M,S,1
355,72,22.69709979,"90-99,999",M,S,1
356,69,10.23475748,"90-99,999",M,M,1
357,84,3.535943369,"70-79,999",M,M,1
358,86,14.86826973,"100-149,999",M,S,1
359,67,18.92045355,"30-39,999",M,M,1
360,84,4.722156369,,M,M,0
361,75,7.134811179,Under $10k,F,S,0
362,85,6.916806202,,,,0
363,75,26.52613909,"40-49,999",M,M,0
364,65,3.499399029,"100-149,999",M,M,0
365,94,4.062082574,"50-59,999",F,M,1
366,74,1.62374006,"175 - 199,999",F,S,1
367,91,11.58967788,Under $10k,M,S,1
368,93,5.075660164,"10-19,999",F,M,1
369,83,10.13599319,"100-149,999",M,M,1
370,82,7.040897108,"90-99,999",M,M,1
371,84,8.704973416,"150 - 174,999",M,M,1
372,76,5.494386464,"70-79,999",M,M,1
373,89,5.858794984,"175 - 199,999",M,,0
374,72,5.223773488,"90-99,999",M,S,0
375,68,5.010394374,250k+,M,M,0
376,94,1.078314357,,F,,0
377,77,4.591392767,"70-79,999",F,M,0
378,68,10.39258783,"70-79,999",F,M,0
379,68,19.66082154,"60-69,999",F,M,0
380,69,9.791062416,"175 - 199,999",F,S,0
381,85,12.03571256,"50-59,999",M,S,0
382,67,10.21216434,"100-149,999",M,S,0
383,66,2.982211944,"40-49,999",M,M,0
384,70,3.614712467,"90-99,999",M,M,0
385,91,9.045986555,"10-19,999",F,S,0
386,68,0.855608422,"90-99,999",F,S,0
387,79,2.613830564,"60-69,999",F,M,0
388,94,15.9218177,"50-59,999",F,S,0
389,80,1.528493544,"90-99,999",F,M,0
390,67,2.482160245,"100-149,999",F,M,0
391,79,7.341840338,"50-59,999",M,M,0
392,84,11.33346435,"90-99,999",M,M,1
393,80,1.150156811,"10-19,999",M,M,1
394,87,8.071647759,"50-59,999",M,M,1
395,73,7.252119367,"10-19,999",F,M,1
396,71,1.842107198,"90-99,999",M,S,1
397,82,3.332921369,"40-49,999",M,M,1
398,93,0.311359807,"50-59,999",F,S,1
399,79,0.780411107,"30-39,999",F,M,1
400,72,4.171818438,"90-99,999",M,M,0
401,66,17.4034309,"90-99,999",M,M,0
402,88,18.32346448,"40-49,999",M,S,0
403,73,1.070022342,"100-149,999",F,M,0
404,67,15.58858042,"200 - 249,999",F,M,0
405,72,5.73123986,"100-149,999",M,M,0
406,67,4.703582273,"90-99,999",F,S,0
407,66,9.795607176,"90-99,999",F,M,0
408,76,2.853516957,"100-149,999",M,S,0
409,71,3.33091105,"40-49,999",M,M,0
410,71,1.223126364,"90-99,999",M,,0
411,71,2.163590069,"90-99,999",M,M,0
412,82,1.336480069,,,M,0
413,87,4.845677687,"60-69,999",F,S,0
414,65,0.598211755,"70-79,999",M,S,1
415,90,22.32548636,"10-19,999",F,M,1
416,81,28.84121633,"30-39,999",F,S,1
417,83,27.70791208,"40-49,999",M,M,1
418,71,8.303692695,"20-29,999",F,M,1
419,80,4.697620778,"60-69,999",M,M,1
420,80,27.2079343,"20-29,999",M,M,1
421,81,11.11363301,,F,M,1
422,77,7.09466114,"100-149,999",M,S,0
423,69,1.678149718,"90-99,999",F,M,0
424,76,7.224739069,,F,,0
425,84,20.50202963,,F,,0
426,71,11.79323461,"50-59,999",F,M,0
427,80,6.297314264,"90-99,999",F,M,0
428,85,2.891131715,"10-19,999",M,S,0
429,75,4.599143315,"90-99,999",F,S,0
430,71,1.798739585,"100-149,999",F,S,0
431,80,16.57708659,"50-59,999",M,S,0
432,72,0.792425671,,F,S,0
433,67,4.348710279,250k+,M,M,0
434,78,7.466223781,"40-49,999",M,M,0
435,76,4.011424844,"100-149,999",M,M,0
436,66,12.02853977,"10-19,999",F,M,0
437,83,2.655551343,"200 - 249,999",M,M,0
438,67,10.43697028,"70-79,999",M,M,0
439,69,4.589253806,"90-99,999",M,M,1
440,74,11.56831624,"40-49,999",M,M,1
441,89,4.242098541,"10-19,999",M,S,1
442,81,12.01643023,"90-99,999",F,M,1
443,94,3.951370391,"10-19,999",M,M,1
444,74,1.096930949,"70-79,999",M,M,1
445,84,5.129758647,"20-29,999",F,S,1
446,65,11.4870056,"100-149,999",M,S,1
447,71,9.407077293,"100-149,999",F,M,0
448,79,19.56071108,"100-149,999",F,M,0
449,82,2.785193663,"10-19,999",F,S,0
450,65,1.254994989,"40-49,999",M,M,0
451,74,18.3028681,"30-39,999",F,M,0
452,68,12.81835994,"100-149,999",F,M,0
453,81,20.94892916,"50-59,999",M,M,0
454,73,10.76457947,"20-29,999",M,S,0
455,73,2.288475345,"50-59,999",F,M,0
456,81,4.921767796,"10-19,999",F,S,1
457,72,11.21021294,"20-29,999",F,S,1
458,75,20.52131091,"60-69,999",M,M,1
459,80,13.20864899,"40-49,999",M,M,1
460,79,3.091417533,"200 - 249,999",F,M,1
461,92,1.106399905,"10-19,999",M,M,1
462,87,9.625949752,"10-19,999",F,S,1
463,70,2.221004469,"175 - 199,999",F,M,0
